veg_class,year,sensor,index,SOS,EOS,PEAK,PEAK_VAL,AUC,SEASON_LEN
Torpedograss,2024,S1,VV,1.0,5.0,2.0,-8.89957608737476,-107.16135415344056,4.0
Torpedograss,2024,S1,VH,1.0,11.0,6.0,-13.99392604907614,-187.9577207894153,10.0
Torpedograss,2024,S1,RVI,2.0,12.0,6.0,1.2177628327062142,8.700106511186288,10.0
Torpedograss,2024,S1,CR,2.0,12.0,6.0,-3.576665970503938,-80.79636664328652,10.0
Torpedograss,2025,S1,VV,6.0,12.0,8.0,-9.256810950406885,-112.94890073357583,6.0
Torpedograss,2025,S1,VH,1.0,5.0,1.0,-14.057917384031125,-181.7216688083725,4.0
Torpedograss,2025,S1,RVI,1.0,7.0,1.0,1.089971523674494,9.90967561914068,6.0
Torpedograss,2025,S1,CR,1.0,7.0,1.0,-4.6235778496253594,-68.77276809208479,6.0
Willow,2023,S1,VV,1.0,3.0,1.0,-6.343934124726546,-80.07070845338515,2.0
Willow,2023,S1,VH,4.0,12.0,8.0,-13.104396566044318,-148.30411003444334,8.0
Willow,2023,S1,RVI,1.0,11.0,4.0,0.9192805783728494,9.259780558227098,10.0
Willow,2023,S1,CR,1.0,11.0,4.0,-5.643355562946246,-68.23340158300566,10.0
Willow,2024,S1,VV,1.0,5.0,1.0,-6.09415566656438,-82.91725459710257,4.0
Willow,2024,S1,VH,5.0,12.0,10.0,-13.356134665574448,-149.86889861609916,7.0
Willow,2024,S1,RVI,2.0,12.0,6.0,0.9612939597665595,9.458832854828778,10.0
Willow,2024,S1,CR,2.0,12.0,6.0,-5.366219056488164,-66.95164403114323,10.0
Willow,2025,S1,VV,1.0,4.0,1.0,-7.197296150018879,-90.38190280843065,3.0
Willow,2025,S1,VH,5.0,12.0,11.0,-13.126080597209151,-150.59881941376295,7.0
Willow,2025,S1,RVI,3.0,12.0,8.0,0.985400696589892,10.442222516121623,9.0
Willow,2025,S1,CR,3.0,12.0,8.0,-5.235546406519509,-60.21691660872138,9.0
Beakrush,2023,S2,NDVI,10.0,12.0,12.0,0.34072830332682225,2.406624785636871,2.0
Beakrush,2023,S2,EVI,1.0,9.0,5.0,0.12481193381450394,0.5906228818127646,8.0
Beakrush,2023,S2,NDWI,5.0,12.0,9.0,-0.1381905569643821,-2.9821692221539116,7.0
Beakrush,2023,S2,MNDWI,1.0,4.0,1.0,0.1549411823597842,-1.941361494701172,3.0
Beakrush,2023,S2,NDRE,1.0,8.0,5.0,0.17511949911915264,0.06387219520200321,7.0
Beakrush,2024,S2,NDVI,3.0,12.0,7.0,0.4135901614465822,3.0484915100042573,9.0
Beakrush,2024,S2,EVI,2.0,12.0,7.0,0.17458155265786213,0.9760075267745888,10.0
Beakrush,2024,S2,NDWI,1.0,6.0,1.0,-0.07788045855996782,-3.937050551079352,5.0
Beakrush,2024,S2,MNDWI,1.0,5.0,1.0,0.23380186710597,-3.796897453005667,4.0
