veg_class,year,month,CR,EVI,MNDWI,NDRE,NDVI,NDWI,RVI,VH,VV,composite_productivity,sar_productivity,composite_productivity_norm,sar_productivity_norm
Broadleaf Marsh,2023,12,-10.811750793753177,0.16910888360572984,-0.4652103769548047,0.33376717425075725,0.6102674516193043,-0.6372549833443542,0.3714755055607033,-14.98236373275645,-4.170612939987419,0.37104783649193046,-7.398312990234086,0.4900967818488682,0.8525545057019925
Broadleaf Marsh,2024,1,-13.254712396262882,0.09755563279942205,-0.1617316475841237,0.20634982276109173,0.408312359440021,-0.3838529201420643,0.16354276779774443,-16.630515629960154,-3.375803238631873,0.23740593833351156,-8.274372124264291,0.31828926291349624,0.7651325098884635
Broadleaf Marsh,2024,2,-11.06561771444306,0.14052063274938478,-0.29235997369205335,0.23874942035395913,0.45293917260277,-0.46881340462052423,0.3753739943684684,-15.45169442837646,-4.386076715838514,0.27740307523537133,-7.632003716072392,0.36970883230243967,0.8292344935449221
Broadleaf Marsh,2024,3,-9.192780034495113,0.17871636242229128,-0.38897777442416065,0.26610866557964197,0.48693396009878187,-0.5303660836227547,0.5595635376687952,-14.553776885644236,-5.360996850750211,0.31058632936690506,-7.1369975583051914,0.4123686017392867,0.8786311890087505
Broadleaf Marsh,2024,4,-7.63619935641904,0.2121428218181417,-0.45158504978044567,0.2884275584381404,0.5102967219280565,-0.5685109571487561,0.7161113976987251,-13.936763001763481,-6.300563643366965,0.3369557007281128,-6.78935365096269,0.44626857122403735,0.9133225962799486
Broadleaf Marsh,2024,5,-5.673062279419808,0.25633230896955533,-0.49529334358834787,0.3047306337160342,0.5119007844361285,-0.5834590584322954,0.9290038287969782,-13.465167836426783,-7.792105551253359,0.35765457570723935,-6.5003329595757435,0.47287865686276154,0.942163989161975
Broadleaf Marsh,2024,6,-4.805828190338808,0.28086072851576005,-0.48362430865061834,0.3151591527350116,0.5078562956703294,-0.5670149253274324,1.015016476031965,-13.30078765598348,-8.494959462189989,0.36795872564036697,-6.3966397081200785,0.4861254788485596,0.9525115452144364
Broadleaf Marsh,2024,7,,0.27788266266584716,-0.44500090516423585,0.3253570091357136,0.5280514483077436,-0.559540567095036,,,,0.3770970400364348,,0.4978735245234175,
Broadleaf Marsh,2024,8,-6.128241405976826,0.2492894739952208,-0.3892268062619051,0.33436245738197606,0.5743867558438784,-0.5555620739360387,0.8652727295849616,-13.641229127752212,-7.512987717852443,0.3860128957403584,-6.60429638049913,0.5093355814740086,0.931789472881421
Broadleaf Marsh,2024,9,-7.624746186330962,0.216819333292126,-0.35061623134660336,0.35030980251507093,0.6293512078219606,-0.5599041066222648,0.6800541345009841,-13.812876472065584,-6.188130288222851,0.3988267812097192,-6.736424703029604,0.5258088724160694,0.9186043793067793
