veg_class,year,month,CR,EVI,MNDWI,NDRE,NDVI,NDWI,RVI,VH,VV,composite_productivity,sar_productivity,composite_productivity_norm,sar_productivity_norm,stage_ft,stage_count,precip_mm,tmax_c,soil_moisture_mm,pet_mm,pdsi,stage_missing,climate_missing
Shrub Swamp,2024,2,-5.81478129784026,0.2706646651874431,-0.3884417483025504,0.331744163549159,0.5688511226958752,-0.5181353382836802,0.8980316969270189,-14.453787221620257,-8.639005927160849,0.3904199838108257,-7.002385687423586,0.5150012512792902,0.8920641160287857,16.302758620689655,29,95.20547786894714,24.432994337224084,104.02871836357323,86.58950652952731,6.323879579336646,False,False
Shrub Swamp,2024,3,-5.568219579160592,0.3338453014301236,-0.3961841912777766,0.3584293061537015,0.5906955665218746,-0.5242982026932649,0.9327783649487744,-14.870566949595393,-9.302347378250529,0.4276567247018999,-7.202088885514435,0.5628721073049291,0.8721357213927626,15.720967741935485,31,146.1535883508609,28.838518432913425,116.20179128625904,114.70615971339416,7.28428290766208,False,False
Shrub Swamp,2024,4,-5.357248786844613,0.3891020423452765,-0.4150399409200219,0.3910728678106494,0.6255902108520385,-0.5466483477444202,0.9639718649626272,-15.084425204360072,-9.727176427879105,0.4685883736693215,-7.30121963853029,0.6154930678863938,0.8622434573451564,14.777999999999999,30,20.448514965907773,29.410273893447357,45.67791517392811,162.5548826996417,7.542050156015254,False,False
Shrub Swamp,2024,5,-5.290825659166732,0.4575619650164823,-0.4718415870429046,0.448452343753102,0.7006802651503306,-0.6100751116356266,0.9733442238746676,-15.37042441403092,-10.07959876960982,0.5355648579733049,-7.441876154733202,0.7015967805232857,0.8482073347902005,13.608064516129033,31,54.31595978273431,33.871778573905,31.7291459609384,177.0796255633884,5.9464151161446885,False,False
Shrub Swamp,2024,6,-4.872932835802613,0.5010425852267075,-0.5343374452656223,0.5073512338991096,0.7849796270517436,-0.6887321193492304,1.0429678818788553,-14.957416997053835,-10.084484176175678,0.5977911487258537,-7.217966531788319,0.7815937333806408,0.8705512900773803,13.127333333333333,30,342.5661620247312,33.37382410724603,125.41852536692473,151.43195423552518,6.659791979660234,False,False
Shrub Swamp,2024,7,,0.4969715546635623,-0.4965889655049285,0.5044175979358047,0.767070666513292,-0.6667437524620012,,,,0.5894866063708863,,0.770917569411394,,13.528387096774193,31,217.24927770715357,34.521795908933306,125.41852536692473,156.47926730613656,6.790134057552292,False,False
Shrub Swamp,2024,8,-4.917684139731509,0.463615153615005,-0.5004732107897811,0.5039422912173761,0.7703801801162479,-0.675798093891906,1.0424754216674748,-14.325119078421835,-9.407434947573648,0.579312541649543,-6.901940686014879,0.7578379825352046,0.9020875290057676,13.985806451612904,31,251.05396972148375,34.30658731075927,125.41852536692473,149.59214145383098,7.2014422743557125,False,False
Shrub Swamp,2024,9,-5.135451174858867,0.4189547398819198,-0.4971826007893061,0.5008911200228439,0.7685006058611178,-0.6792329042019256,1.0104654787454808,-13.803237511273789,-8.667786339740637,0.5627821552552938,-6.649002386781953,0.7365868276760272,0.9273282577165072,14.858,30,206.72009707615848,33.737351207673626,125.41852536692473,128.42005084941638,7.235292961978502,False,False
Shrub Swamp,2024,10,-5.201111579818566,0.3859029656964547,-0.5037960043335473,0.4890345852597957,0.757539456529771,-0.6807449347563108,0.9984510090033164,-13.648488764051312,-8.447377186951684,0.5441590024953404,-6.574631630454562,0.7126452516094465,0.9347497201449536,15.86516129032258,31,148.93713163064828,30.84186987172078,125.41852536692473,119.5408297700219,7.416782618744942,False,False
Shrub Swamp,2024,11,-5.289113033970367,0.350528921783643,-0.5137227467474235,0.4662312851991723,0.7346195807642922,-0.6767802379851617,0.9797481514825735,-13.714055463384426,-8.424942434826692,0.5171265959157025,-6.612090695174728,0.6778928964775672,0.9310116777321312,16.026,30,17.326360799722643,28.480735005200497,75.10265803767479,96.0326823067144,6.580871374089909,False,False
Shrub Swamp,2024,12,-5.3994555373142745,0.3128326081434845,-0.5269628280309344,0.4324812198409737,0.6997409785646814,-0.6673388138884787,0.954356906183252,-13.999937609273134,-8.600482083365662,0.4816849355163799,-6.761379580942455,0.6323297622803892,0.9161141304780408,15.398387096774194,31,36.89968796949035,25.03215069917947,53.69633653068298,82.65476713278628,6.103562926152778,False,False
Shrub Swamp,2025,1,-4.983975493971287,0.2977067085202585,-0.6018013601790677,0.4117038334436552,0.682707299947087,-0.6486016965100918,1.0298082371317598,-14.89300589420905,-9.909030389030484,0.4640392806370002,-7.189050885019765,0.6096448391642693,0.8734367842781164,14.705483870967742,31,,,,,,False,True
Shrub Swamp,2025,2,-5.379281474647962,0.4039249944619595,-0.5585157118136902,0.4517482688638121,0.7231474174858119,-0.6643572551745586,0.9665284973000544,-15.180122167692147,-9.800840692250658,0.5262735602705279,-7.348428959322678,0.689652062377246,0.857532436268662,14.032142857142857,28,,,,,,False,True
Shrub Swamp,2025,3,-5.61949233744197,0.4802413934871174,-0.5280404524968019,0.4825880605906905,0.7553338982803972,-0.6782540634004212,0.9289236366087246,-15.332317368876009,-9.712825037872411,0.572721117452735,-7.433927776895416,0.7493641711548713,0.8490005039120868,13.128387096774194,31,,,,,,False,True
