year,month,precip_mm,tmax_c,soil_moisture_mm,pet_mm,pdsi
2019,4,34.468623598751876,30.15028313879579,23.410516583843744,147.4115104588004,2.142031665318386
2019,5,197.2471975037559,32.05997919796601,44.63023228937939,166.3739627874725,2.690951115220153
2019,6,340.8813128394774,33.5423899225702,125.41852536692473,145.92306714434295,4.023957009129781
2019,7,243.76077660926828,33.925205131168376,125.41852536692473,151.88015717092335,4.8776262567895525
2019,8,419.2222350629838,33.606471743903846,125.41852536692473,127.02046689009588,7.946793019761931
2019,9,81.93146885473246,33.576343464694325,81.76704033283252,146.8554605339188,6.320963827574253
2019,10,113.80214954351086,32.7310181439963,78.03887669016524,117.61265457066912,5.99228013405755
2019,11,37.65202819831271,28.09389807003351,49.629330867907065,97.915208598174,5.263041719634808
2019,12,82.09973419623249,26.990095920489996,52.331099040795124,76.21821333641512,5.615254824916214
2020,1,12.15693978966832,25.89744597249507,34.22556338842019,96.94421587888588,4.410028891713856
2020,2,63.853230093609156,26.713821795908935,26.250641396047598,99.12359875187794,3.865963249739974
2020,3,3.2178435224777515,29.65581879117068,21.271813243961624,145.58695250202237,2.330974228591239
2020,4,36.3034785623483,31.955472090604406,17.936657806541078,169.0531029700681,1.6517924419276546
2020,5,247.1822489310064,31.238067722177277,85.370969605917,160.09006125043334,2.7839835895065277
2020,6,260.64705882352933,33.46395469779266,125.41852536692473,147.9398012250086,3.4568438691783183
2020,7,189.7459840517739,34.187183635733255,125.41727724488612,162.54554489772323,3.521200739627874
2020,8,240.3842597942909,34.393967410146765,125.41852536692473,154.85098809661386,4.144652721599445
2020,9,214.28244539466073,33.271801687276074,125.41852536692473,128.46180515428168,4.642349474170807
2020,10,178.98821218074653,32.09835895065294,125.41852536692473,119.97212527447125,5.452184213567546
2020,11,98.12504333757077,29.371281636426673,112.42381832890322,111.46320351323239,6.094330290072807
2020,12,42.7600832081359,23.63599907546515,92.08097769559686,75.04875765630416,6.1051496590777745
2021,1,19.148272275511378,23.997237952155317,59.976100774297905,80.18473361839824,5.4021322084826044
2021,2,51.60984629608228,27.138541546284525,45.36507569629029,87.90804345313765,4.843931584421585
2021,3,32.420894487461,28.40450710736159,31.2882237374321,130.37845833814856,3.83632612966601
2021,4,121.65376170114402,29.786952502022423,24.674829538888233,148.4975846527216,4.633814861897606
2021,5,31.738356639315843,32.43766323818328,20.234311799375934,179.24319889055815,3.052913440425286
2021,6,256.91448052698485,32.82374898879001,110.58013405755226,150.38223737432102,3.2337200970761577
2021,7,318.0302785161214,33.624245926268344,125.41852536692473,157.19857852767817,4.880732693863399
2021,8,267.11660695712465,34.14206633537501,125.41852536692473,149.73002426903963,5.722295157748756
2021,9,248.11718479140177,32.61563619553912,125.41852536692473,122.06986016410485,6.521831734658498
2021,10,63.87784583381485,31.592569051196097,90.41853692361025,115.99096267190565,5.767354674679297
2021,11,65.28094302554027,26.684259794290995,75.26862359875184,91.48078123194264,5.708623598751877
2021,12,15.142840633306367,27.738368196001364,49.54853807927886,71.4232289379406,5.016118109326244
2022,1,44.45383104125735,24.148734542933084,36.02244308332369,84.96855425863862,4.460822836010632
2022,2,44.8646712122963,26.54414653877267,26.922708887091176,86.80796255633881,3.7497295735583016
2022,3,55.78677915173927,29.382503178088513,21.682410724604175,136.68162486998725,3.047470241534727
2022,4,79.2337917485265,30.553415000577814,18.210481913787117,153.71524326823064,3.1296012943487796
2022,5,89.6064948572749,32.54392696174735,15.738957586964052,172.82262799029232,2.343394198543857
2022,6,284.6478677915172,33.129481104819135,116.72250086675136,154.03819484571818,2.8155032936553783
2022,7,206.40436842713504,34.48358950652952,122.7805038714896,169.76943256673985,2.986588466427827
2022,8,231.1510458800416,34.52327516468276,125.41852536692473,154.7061828267652,3.5110054316422037
2022,9,277.89934126892393,33.0313186178204,125.41852536692473,129.84395007511839,4.761186871605221
2022,10,72.03836819600136,30.225886975615396,94.96591933433491,116.53579105512536,4.271636426672829
2022,11,146.1757771871027,29.590211487345414,124.2021611001964,88.14563735120764,5.706883161909162
2022,12,30.594707038021486,25.521934589159834,91.8268461805154,80.51657228706804,5.534170807812317
2023,1,10.848722986247543,25.67826187449439,53.124708193690054,84.91179937593895,4.683874956662428
2023,2,10.866173581416845,28.433294811048178,34.717912862591014,97.00948803883045,3.2948965676643933
2023,3,28.241188027273772,29.62740090142146,26.307662082514724,137.55139258060785,2.26184560268115
2023,4,181.9708771524326,30.91073616086905,57.176031434184644,142.006390847105,4.134114180053159
2023,5,110.5875418929851,31.746365422396845,39.40318964520974,168.78529989598977,3.7682341384490905
2023,6,202.24176586155085,32.96892407257598,78.29684502484683,153.21518548480296,3.421560152548248
2023,7,189.7768404021726,34.69369004969374,96.20873685427017,162.05787588119722,3.2566450941869873
2023,8,219.71466543395354,34.81335952848722,125.39326245232866,158.19248815439727,3.4368658268808487
2023,9,218.83254362648785,33.258511498902095,125.41852536692473,129.9418120882931,3.997133941985437
2023,10,52.76655495203973,30.89432566739858,76.7766670518895,127.0104356870449,3.287496821911475
2023,11,129.88142840633301,28.301375245579557,95.47457529180626,92.01225008667512,4.276210562810586
2023,12,111.34519819715705,25.379637120073955,109.91108286143529,80.7618976077661,5.553664624985551
2024,1,69.3285565699757,24.821530105165834,102.72956200161786,75.44114180053161,5.8571697677106185
2024,2,95.20547786894714,24.432994337224084,104.02871836357325,86.58950652952731,6.323879579336646
2024,3,146.1535883508609,28.838518432913425,116.20179128625904,114.70615971339417,7.28428290766208
2024,4,20.448514965907773,29.410273893447354,45.67791517392811,162.5548826996417,7.542050156015254
2024,5,54.31595978273431,33.871778573905,31.7291459609384,177.0796255633884,5.9464151161446885
2024,6,342.56616202473117,33.37382410724603,125.41852536692473,151.43195423552518,6.659791979660234
2024,7,217.24927770715354,34.521795908933306,125.41852536692473,156.47926730613656,6.790134057552292
2024,8,251.05396972148378,34.30658731075927,125.41852536692473,149.59214145383098,7.2014422743557125
2024,9,206.72009707615848,33.737351207673626,125.41852536692473,128.42005084941638,7.235292961978502
2024,10,148.93713163064828,30.84186987172078,125.41852536692473,119.5408297700219,7.416782618744942
2024,11,17.326360799722643,28.480735005200497,75.10265803767479,96.0326823067144,6.580871374089909
2024,12,36.89968796949035,25.03215069917947,53.696336530682984,82.65476713278628,6.103562926152778
